id,name,uni_id,uni_name,notability,link,image_link,wiki_link,genre,gender
F2,Monica Geller,F,Friends,79.7,https://openpsychometrics.org/tests/characters/stats/F/2,https://openpsychometrics.org/tests/characters/test-resources/pics/F/2.jpg,https://en.wikipedia.org/wiki/Monica_Geller,"sitcom,comedy",f
F1,Rachel Green,F,Friends,76.7,https://openpsychometrics.org/tests/characters/stats/F/1,https://openpsychometrics.org/tests/characters/test-resources/pics/F/1.jpg,https://en.wikipedia.org/wiki/Rachel_Green,"sitcom,comedy",f
F5,Chandler Bing,F,Friends,74.4,https://openpsychometrics.org/tests/characters/stats/F/5,https://openpsychometrics.org/tests/characters/test-resources/pics/F/5.jpg,https://en.wikipedia.org/wiki/Chandler_Bing,"sitcom,comedy",m
F4,Joey Tribbiani,F,Friends,74.3,https://openpsychometrics.org/tests/characters/stats/F/4,https://openpsychometrics.org/tests/characters/test-resources/pics/F/4.jpg,https://en.wikipedia.org/wiki/Joey_Tribbiani,"sitcom,comedy",m
F3,Phoebe Buffay,F,Friends,72.6,https://openpsychometrics.org/tests/characters/stats/F/3,https://openpsychometrics.org/tests/characters/test-resources/pics/F/3.jpg,https://en.wikipedia.org/wiki/Phoebe_Buffay,"sitcom,comedy",f
F6,Ross Geller,F,Friends,51.6,https://openpsychometrics.org/tests/characters/stats/F/6,https://openpsychometrics.org/tests/characters/test-resources/pics/F/6.jpg,https://en.wikipedia.org/wiki/Ross_Geller,"sitcom,comedy",m
EU1,Rue Bennett,EU,Euphoria,86.5,https://openpsychometrics.org/tests/characters/stats/EU/1,https://openpsychometrics.org/tests/characters/test-resources/pics/EU/1.jpg,https://euphoria.fandom.com/wiki/Rue_Bennett,"sitcom,comedy",f
EU2,Jules Vaughn,EU,Euphoria,84.2,https://openpsychometrics.org/tests/characters/stats/EU/2,https://openpsychometrics.org/tests/characters/test-resources/pics/EU/2.jpg,https://euphoria.fandom.com/wiki/Jules_Vaughn,drama,f
EU6,Maddy Perez,EU,Euphoria,82.6,https://openpsychometrics.org/tests/characters/stats/EU/6,https://openpsychometrics.org/tests/characters/test-resources/pics/EU/6.jpg,https://euphoria.fandom.com/wiki/Maddy_Perez,drama,f
EU3,Cassie Howard,EU,Euphoria,65.6,https://openpsychometrics.org/tests/characters/stats/EU/3,https://openpsychometrics.org/tests/characters/test-resources/pics/EU/3.jpg,https://euphoria.fandom.com/wiki/Cassie_Howard,drama,f
EU4,Nate Jacobs,EU,Euphoria,55.3,https://openpsychometrics.org/tests/characters/stats/EU/4,https://openpsychometrics.org/tests/characters/test-resources/pics/EU/4.jpg,https://euphoria.fandom.com/wiki/Nate_Jacobs,drama,m
EU5,Lexi Howard,EU,Euphoria,50.7,https://openpsychometrics.org/tests/characters/stats/EU/5,https://openpsychometrics.org/tests/characters/test-resources/pics/EU/5.jpg,https://euphoria.fandom.com/wiki/Lexi_Howard,drama,f
HIMYM4,Barney Stinson,HIMYM,How I Met Your Mother,76,https://openpsychometrics.org/tests/characters/stats/HIMYM/4,https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/4.jpg,https://en.wikipedia.org/wiki/Barney_Stinson,"sitcom,comedy,drama",m
HIMYM3,Robin Scherbatsky,HIMYM,How I Met Your Mother,74.2,https://openpsychometrics.org/tests/characters/stats/HIMYM/3,https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/3.jpg,https://en.wikipedia.org/wiki/Robin_Scherbatsky,"sitcom,comedy,drama",f
HIMYM5,Lily Aldrin,HIMYM,How I Met Your Mother,74.1,https://openpsychometrics.org/tests/characters/stats/HIMYM/5,https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/5.jpg,https://en.wikipedia.org/wiki/Lily_Aldrin,"sitcom,comedy,drama",f
HIMYM2,Marshall Eriksen,HIMYM,How I Met Your Mother,71,https://openpsychometrics.org/tests/characters/stats/HIMYM/2,https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/2.jpg,https://en.wikipedia.org/wiki/Marshall_Eriksen,"sitcom,comedy,drama",m
