uni_name,adventurous,alert,altruistic,angry,anxious,arrogant,assertive,awkward,calm,cautious,chaotic,charming,chatty,cheery,codependent,confident,confidential,cruel,decisive,diligent,disorganized,distant,dominant,emotional,extrovert,feminine,ferocious,fighter,flamboyant,flexible,forgiving,funny,generous,genuine,giving,good-humored,gossiping,heroic,hesitant,humble,humorless,ignorant,impatient,impulsive,independent,insecure,intellectual,introvert,juvenile,kind,knowledgeable,lazy,logical,loud,lover,masculine,mature,messy,mischievous,modest,morning lark,neat,night owl,oblivious,open-book,optimistic,orderly,pacifist,passive,patient,pessimistic,physical,playful,quiet,receiving,reserved,respectful,rigid,rude,sarcastic,secretive,self-disciplined,selfish,serious,sheltered,sorrowful,stick-in-the-mud,stingy,street-smart,submissive,touchy-feely,vengeful,villainous,well behaved
30 Rock,0.0,0.0,0.0,0.0,74.39999999999999,64.36666666666667,60.050000000000004,50.01666666666667,0.0,0.0,60.98333333333333,0.0,74.15,61.199999999999996,63.733333333333334,50.666666666666664,0.0,0.0,55.900000000000006,58.166666666666664,55.93333333333334,52.71666666666667,55.0,63.733333333333334,68.64999999999999,0.0,58.15,0.0,57.06666666666666,0.0,0.0,72.03333333333333,0.0,0.0,0.0,57.21666666666667,64.38333333333333,0.0,0.0,0.0,0.0,53.083333333333336,68.31666666666666,56.13333333333333,0.0,0.0,52.383333333333326,0.0,68.96666666666667,55.199999999999996,0.0,0.0,0.0,70.95,55.79999999999999,56.333333333333336,0.0,54.26666666666667,60.63333333333333,0.0,0.0,0.0,60.4,64.13333333333334,60.06666666666666,57.4,0.0,0.0,0.0,0.0,0.0,0.0,61.63333333333333,0.0,60.21666666666667,0.0,0.0,62.28333333333333,57.18333333333334,57.86666666666667,0.0,0.0,64.81666666666666,0.0,55.449999999999996,0.0,51.35,55.31666666666666,0.0,0.0,0.0,62.18333333333334,51.38333333333333,0.0
Arcane,61.75,71.45,61.269999999999996,0.0,53.28,50.0,67.24,0.0,0.0,54.07000000000001,0.0,63.07000000000001,0.0,0.0,0.0,61.15,69.05,0.0,66.22,85.38,0.0,54.47,62.6,0.0,51.67,0.0,52.86,53.190000000000005,0.0,0.0,0.0,0.0,58.269999999999996,58.010000000000005,64.47,50.1,0.0,66.52,0.0,0.0,52.260000000000005,0.0,50.93,0.0,66.02000000000001,0.0,61.42,0.0,0.0,66.84,72.06,0.0,56.98,0.0,0.0,59.79,63.68000000000001,0.0,54.260000000000005,55.260000000000005,0.0,56.56,66.71000000000001,0.0,0.0,55.94,58.52,0.0,0.0,0.0,0.0,0.0,0.0,51.220000000000006,0.0,55.3,61.81,54.2,0.0,0.0,65.88,74.63,0.0,63.36,0.0,61.529999999999994,0.0,0.0,62.44,0.0,0.0,52.58,0.0,0.0
Archer,62.9,0.0,0.0,58.23333333333333,65.71666666666667,76.95,70.16666666666667,0.0,0.0,0.0,58.85,56.75,72.66666666666667,0.0,0.0,60.666666666666664,0.0,55.9,63.166666666666664,52.76666666666667,50.86666666666667,50.550000000000004,69.8,59.18333333333333,74.08333333333333,57.23333333333333,73.58333333333333,60.93333333333333,69.03333333333333,0.0,0.0,64.55000000000001,0.0,0.0,0.0,0.0,75.39999999999999,50.53333333333333,0.0,0.0,0.0,0.0,79.61666666666666,63.51666666666667,53.916666666666664,0.0,0.0,0.0,58.31666666666667,0.0,55.21666666666667,0.0,0.0,78.81666666666666,0.0,0.0,0.0,0.0,70.16666666666667,0.0,0.0,55.35,66.28333333333333,55.03333333333334,51.85,0.0,0.0,0.0,0.0,0.0,57.56666666666666,54.73333333333333,53.06666666666666,0.0,63.1,0.0,0.0,52.06666666666666,70.81666666666666,77.26666666666667,0.0,0.0,70.46666666666667,0.0,0.0,51.083333333333336,0.0,62.133333333333326,59.833333333333336,0.0,0.0,77.33333333333333,0.0,0.0
Arrested Development,53.4,0.0,0.0,0.0,71.77,67.71000000000001,50.88,59.279999999999994,0.0,0.0,70.95,0.0,65.89,0.0,63.2,0.0,0.0,0.0,0.0,0.0,65.61,53.88,0.0,68.08,62.62,58.08,0.0,0.0,68.58,0.0,0.0,63.0,0.0,0.0,0.0,50.36,66.89,0.0,53.260000000000005,0.0,0.0,67.16,68.45,65.35,0.0,54.08,54.87,0.0,70.55,50.160000000000004,0.0,52.470000000000006,0.0,64.78,56.4,0.0,0.0,57.33,67.68,0.0,0.0,0.0,53.65,68.25,0.0,0.0,0.0,50.37,0.0,0.0,54.81,0.0,56.63,0.0,65.94,0.0,0.0,55.05,59.089999999999996,61.410000000000004,55.14,0.0,67.69,0.0,63.28,57.44,0.0,61.5,0.0,50.07000000000001,0.0,59.660000000000004,57.65,0.0
Avatar: The Last Airbender,67.3,67.73,58.71,0.0,0.0,50.65,67.38,0.0,58.120000000000005,0.0,52.910000000000004,60.470000000000006,53.53,55.510000000000005,0.0,68.33,64.51,0.0,71.86,76.64,0.0,0.0,67.2,55.839999999999996,64.08,0.0,59.19,56.11,52.739999999999995,52.309999999999995,54.25,61.239999999999995,58.12,55.42,57.93,58.81,0.0,67.83,0.0,0.0,0.0,0.0,56.7,57.129999999999995,69.17999999999999,0.0,0.0,0.0,0.0,65.97,66.49,0.0,0.0,62.230000000000004,0.0,60.39,52.5,0.0,63.08,0.0,55.160000000000004,52.989999999999995,0.0,0.0,51.06,61.470000000000006,0.0,0.0,0.0,0.0,0.0,54.660000000000004,0.0,0.0,0.0,0.0,55.81,0.0,0.0,0.0,0.0,73.2,0.0,50.81,0.0,0.0,0.0,0.0,62.839999999999996,0.0,50.8,0.0,0.0,0.0
Battlestar Galactica,52.7,64.38,58.78,55.473333333333336,51.32666666666667,55.55333333333333,67.07333333333332,0.0,0.0,50.21333333333334,0.0,58.86666666666667,0.0,0.0,0.0,61.166666666666664,70.06,0.0,63.36,81.96000000000001,0.0,53.77333333333333,60.81333333333334,54.766666666666666,51.61333333333334,0.0,64.62666666666667,55.43333333333333,0.0,0.0,0.0,0.0,60.333333333333336,59.333333333333336,58.906666666666666,0.0,0.0,69.12666666666667,0.0,0.0,53.10666666666667,0.0,54.18,0.0,51.82666666666667,0.0,50.54666666666667,0.0,0.0,62.57333333333334,64.98666666666666,0.0,0.0,0.0,0.0,59.059999999999995,54.64666666666667,0.0,50.39333333333333,60.45333333333333,0.0,61.72,58.593333333333334,0.0,0.0,51.82666666666667,59.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,53.76,0.0,59.126666666666665,59.84666666666667,56.84,0.0,0.0,60.96666666666667,70.3,0.0,66.16666666666667,0.0,66.05333333333334,0.0,0.0,61.39333333333333,0.0,0.0,54.46666666666667,0.0,0.0
Beauty and the Beast,51.5,50.63333333333333,55.28333333333333,0.0,62.0,0.0,58.266666666666666,0.0,0.0,0.0,51.833333333333336,56.26666666666667,56.050000000000004,54.25,0.0,54.65,55.800000000000004,0.0,57.26666666666667,74.16666666666667,0.0,0.0,58.68333333333334,56.26666666666667,52.46666666666667,0.0,0.0,0.0,53.63333333333333,0.0,61.766666666666666,53.300000000000004,57.93333333333333,56.20000000000001,60.233333333333334,56.199999999999996,0.0,64.98333333333333,0.0,50.13333333333333,0.0,0.0,59.36666666666667,59.81666666666666,51.23333333333333,0.0,61.36666666666667,0.0,0.0,68.05,60.76666666666667,0.0,0.0,61.916666666666664,59.21666666666667,65.48333333333333,53.166666666666664,0.0,0.0,0.0,0.0,54.53333333333333,50.166666666666664,0.0,55.76666666666667,55.01666666666667,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.53333333333333,54.666666666666664,0.0,0.0,0.0,53.449999999999996,0.0,51.550000000000004,59.5,0.0,0.0,0.0,0.0,0.0,54.88333333333333,0.0,0.0,52.78333333333333
Bob's Burgers,62.6,0.0,56.08,0.0,71.1,0.0,0.0,65.62,0.0,0.0,73.56,0.0,68.4,56.92,0.0,58.17999999999999,0.0,0.0,0.0,57.06,64.84,0.0,0.0,61.92,58.78,53.480000000000004,0.0,0.0,63.160000000000004,56.82,50.88,75.14,55.58,0.0,55.4,76.17999999999999,63.96,60.04,52.32000000000001,50.04,0.0,0.0,68.96000000000001,60.5,51.96,0.0,50.6,0.0,63.760000000000005,71.25999999999999,52.660000000000004,0.0,0.0,68.52,64.74,0.0,0.0,68.46,60.760000000000005,0.0,0.0,0.0,57.2,63.44,61.64,51.839999999999996,0.0,50.36,51.3,0.0,0.0,0.0,64.36,0.0,0.0,0.0,54.760000000000005,0.0,0.0,58.78000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.339999999999996,51.3,56.82000000000001,0.0,0.0,0.0
Bones,59.4,72.44,70.8,0.0,0.0,50.62,72.6,0.0,54.0,52.1,0.0,58.94,55.58,58.44,0.0,76.42,66.44,0.0,72.14,86.02,0.0,51.480000000000004,72.0,0.0,58.58,50.78,53.260000000000005,0.0,0.0,0.0,61.74,64.84,71.92,53.64,69.44,64.74,0.0,83.76,0.0,0.0,0.0,0.0,58.78,0.0,73.3,0.0,68.03999999999999,0.0,0.0,73.1,81.74,0.0,56.9,63.08,53.04,0.0,63.17999999999999,0.0,51.120000000000005,53.779999999999994,0.0,58.56,60.54,0.0,0.0,54.06,61.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.96,50.480000000000004,0.0,0.0,52.239999999999995,68.76,0.0,50.620000000000005,0.0,0.0,0.0,0.0,61.4,0.0,0.0,0.0,0.0,0.0
Breaking Bad,52.55,59.910000000000004,0.0,59.28,58.089999999999996,62.68,68.24,0.0,0.0,51.32,0.0,55.56,0.0,0.0,0.0,58.75,65.22,0.0,65.11,72.37,0.0,60.15,64.61,51.38,50.4,0.0,64.73,58.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.12,0.0,61.339999999999996,0.0,56.8,0.0,60.56,0.0,0.0,52.160000000000004,62.370000000000005,0.0,0.0,52.46,0.0,62.04,52.79,0.0,62.989999999999995,53.760000000000005,0.0,56.42,57.02,0.0,0.0,0.0,53.17,0.0,0.0,0.0,58.8,0.0,0.0,0.0,57.25,51.46,0.0,60.589999999999996,53.48,56.4,70.75,60.870000000000005,59.11,64.77000000000001,0.0,66.65,0.0,52.96,65.36,0.0,0.0,66.38,51.15,0.0
Broad City,62.86666666666667,0.0,59.26666666666667,0.0,56.43333333333334,50.333333333333336,0.0,0.0,0.0,0.0,58.4,51.63333333333333,61.599999999999994,67.83333333333334,55.4,61.833333333333336,0.0,0.0,52.800000000000004,50.1,54.9,0.0,0.0,58.46666666666666,59.86666666666667,0.0,0.0,0.0,53.73333333333333,65.69999999999999,63.9,85.2,70.06666666666666,0.0,66.80000000000001,76.10000000000001,52.333333333333336,69.43333333333334,0.0,0.0,0.0,0.0,52.26666666666667,53.20000000000001,0.0,0.0,51.26666666666667,0.0,57.833333333333336,80.83333333333333,68.2,0.0,0.0,56.633333333333326,69.03333333333335,55.03333333333333,0.0,53.333333333333336,56.4,0.0,0.0,0.0,59.13333333333333,57.46666666666667,78.16666666666667,64.56666666666666,0.0,51.400000000000006,51.4,0.0,0.0,0.0,65.56666666666666,0.0,0.0,0.0,62.8,0.0,0.0,51.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23333333333333,50.633333333333326,68.96666666666665,0.0,0.0,0.0
Brooklyn Nine-Nine,51.71666666666667,65.01666666666668,71.3,0.0,58.73333333333333,0.0,65.01666666666667,52.866666666666674,0.0,57.56666666666666,0.0,0.0,58.35,64.96666666666667,0.0,62.949999999999996,57.36666666666667,0.0,61.050000000000004,81.56666666666666,0.0,0.0,60.96666666666667,0.0,55.800000000000004,0.0,0.0,0.0,0.0,0.0,57.96666666666667,65.26666666666667,64.76666666666667,57.28333333333333,70.85000000000001,66.11666666666666,0.0,85.05,0.0,56.78333333333333,0.0,0.0,63.25,0.0,60.86666666666667,0.0,57.4,0.0,0.0,78.91666666666667,74.38333333333334,0.0,50.98333333333333,60.449999999999996,60.75,56.833333333333336,58.51666666666667,0.0,0.0,51.11666666666667,60.68333333333334,67.0,0.0,0.0,56.300000000000004,59.45,58.166666666666664,50.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.86666666666667,57.46666666666667,0.0,0.0,0.0,73.25,0.0,54.68333333333334,0.0,0.0,0.0,0.0,57.73333333333333,0.0,56.18333333333334,0.0,0.0,61.46666666666667
